price,year,manufacturer,model,condition,cylinders,odometer,transmission,drive,type,lat,long
3500,2002.0,6,392,0,4,236032.0,0,2,0,36.757549,-119.779677
5450,2007.0,15,1140,0,2,198762.0,1,1,1,36.905852,-119.794299
4000,2000.0,0,60,2,4,158000.0,0,2,8,36.7528,-119.7061
5999,2007.0,5,544,0,4,119976.0,0,1,5,36.8149,-119.7106
3999,2003.0,5,1006,2,4,166298.0,0,1,5,36.831031,-119.700465
4500,2008.0,10,974,0,2,131627.0,1,0,2,36.6486,-119.9987
4999,2014.0,2,968,0,2,112567.0,0,1,2,36.830825,-119.700422
4900,2000.0,14,772,2,2,219896.0,1,0,8,40.9465,-124.0834
2000,1999.0,2,987,1,5,216000.0,0,2,6,32.7893,-115.5665
5200,2013.0,12,910,0,2,156730.0,0,1,5,33.8419,-117.6043
3500,2006.0,5,491,3,2,100333.0,0,1,5,33.779484,-117.244876
5900,2010.0,5,491,0,2,0.0,0,1,5,33.875577,-117.570384
2400,2006.0,15,275,0,2,192000.0,1,1,5,34.5016,-117.2944
1300,2004.0,16,1033,1,5,159577.0,0,0,0,33.7304,-116.7107
5800,2010.0,16,636,2,2,113896.0,0,2,8,34.13947,-118.381506
5995,2010.0,5,491,2,2,133254.0,0,2,2,33.946412,-117.295118
5300,2014.0,2,955,0,2,141900.0,0,1,5,33.7399,-117.0151
5650,2006.0,5,401,0,2,88636.0,0,1,0,33.874014,-117.531674
295,2016.0,2,1062,3,4,54865.0,0,1,0,33.972745,-118.045006
319,2017.0,4,219,3,5,72442.0,0,2,5,33.972745,-118.045006
399,2017.0,4,339,3,4,48218.0,0,2,0,33.972745,-118.045006
269,2017.0,4,571,3,4,64975.0,0,1,3,33.972745,-118.045006
269,2018.0,5,541,3,2,17035.0,0,1,5,33.972745,-118.045006
329,2018.0,7,106,3,2,83638.0,0,1,5,33.972745,-118.045006
275,2015.0,8,943,3,2,54223.0,0,1,5,33.972745,-118.045006
365,2018.0,9,573,3,4,69285.0,0,2,0,33.972745,-118.045006
299,2017.0,15,274,3,2,18534.0,0,1,5,33.972745,-118.045006
315,2018.0,15,843,3,2,34318.0,0,1,0,33.972745,-118.045006
309,2013.0,15,914,3,4,65466.0,0,1,3,33.972745,-118.045006
269,2014.0,15,917,3,4,85932.0,0,1,3,33.972745,-118.045006
4950,2007.0,2,1081,3,4,113000.0,0,1,3,33.88,-117.535
5700,2008.0,5,829,2,2,152600.0,0,2,4,34.0763,-117.6254
5999,2010.0,12,112,0,2,106188.0,0,1,5,33.874023,-117.531948
5750,2013.0,2,954,0,2,100543.0,0,1,5,33.874032,-117.531738
5750,2009.0,16,628,0,3,118630.0,0,1,5,33.874023,-117.531948
995,2008.0,15,841,0,2,74163.0,0,1,0,34.231776,-118.467351
995,2015.0,9,573,0,4,101970.0,0,2,0,34.231794,-118.467223
4900,2006.0,0,1117,0,4,140771.0,0,0,0,33.9553,-117.2457
5995,2008.0,11,12,0,2,82000.0,0,1,5,33.569,-117.1783
3999,2002.0,7,282,2,2,196411.0,0,0,0,33.506763,-117.15728
2999,2006.0,2,588,0,2,175790.0,1,1,8,33.506763,-117.157238
2900,2003.0,5,421,2,5,180000.0,0,2,0,34.0125,-117.6844
5995,2008.0,11,714,0,2,107204.0,1,1,3,34.538574,-117.296348
5700,1999.0,2,185,0,4,188000.0,0,2,1,33.7575,-116.986
5999,2004.0,0,1118,0,4,132090.0,0,0,0,33.506763,-117.157259
4750,2004.0,1,664,0,4,76977.0,0,1,5,33.874014,-117.531652
2400,2002.0,8,364,2,2,123188.0,0,1,5,33.811,-117.218
5400,2011.0,11,12,2,2,100500.0,0,1,5,33.7399,-117.0151
2495,2019.0,15,267,3,2,52583.0,0,1,5,34.201004,-118.596677
2495,2007.0,0,1112,0,4,117944.0,0,0,0,34.201004,-118.596677
1900,2013.0,2,601,3,4,115988.0,0,1,5,34.1993,-118.5983
2495,2015.0,4,641,3,4,80751.0,0,1,0,34.201004,-118.596677
2495,2018.0,8,364,3,2,60785.0,0,1,5,34.201004,-118.596677
3150,2004.0,7,231,0,2,150000.0,0,1,5,33.842615,-117.83339
2900,2003.0,7,759,0,4,189000.0,0,1,3,34.0482,-118.3343
3200,2002.0,7,97,3,4,130.0,0,1,5,34.096851,-118.33121
4500,2007.0,0,62,0,4,109955.0,0,2,5,33.8296,-118.073
5800,1999.0,15,46,0,2,168000.0,0,2,6,34.1722,-118.4051
5488,2014.0,5,476,0,2,124480.0,0,1,5,34.201479,-118.562814
3988,2009.0,16,633,0,3,227299.0,0,1,5,34.201479,-118.562814
1150,1994.0,7,85,2,2,166000.0,0,1,5,33.8925,-118.2961
2995,2001.0,15,188,2,2,165000.0,1,1,5,34.2366,-118.4758
5300,2004.0,15,914,0,4,168000.0,0,1,3,33.892701,-118.27891
999,2012.0,10,762,3,2,87836.0,0,1,5,34.201004,-118.596677
4500,2007.0,8,944,3,4,120000.0,0,1,5,34.057293,-118.328638
3850,2007.0,16,826,2,3,101166.0,1,1,2,34.0762,-118.3029
5995,2006.0,15,49,0,4,241810.0,0,2,0,34.189459,-118.387706
5995,2014.0,5,494,0,3,103080.0,0,1,5,34.189388,-118.38762
2800,2007.0,15,1140,0,2,191600.0,0,1,5,33.9099,-118.2357
3995,2007.0,10,762,0,4,127277.0,0,1,5,34.2367,-118.5466
4500,2009.0,5,539,2,4,185000.0,0,1,5,34.703009,-118.121517
5499,2013.0,2,302,0,2,114528.0,0,1,5,33.8867,-118.1265
5900,2013.0,2,296,3,2,144000.0,0,2,5,34.2057,-118.4001
365,2018.0,4,221,3,4,76701.0,0,2,5,33.972745,-118.045006
295,2013.0,7,99,3,2,107428.0,0,1,5,33.972745,-118.045006
5700,2001.0,5,450,0,5,133000.0,1,0,4,34.2367,-118.5466
269,2016.0,2,690,3,2,80147.0,0,1,5,33.972745,-118.045006
369,2013.0,2,1004,3,5,68325.0,0,2,0,33.972745,-118.045006
295,2015.0,9,573,3,4,93800.0,0,2,0,33.972745,-118.045006
295,2020.0,10,762,3,2,27936.0,0,1,5,33.972745,-118.045006
4700,2001.0,15,46,2,4,240036.0,0,2,0,33.9917,-117.9298
3000,1999.0,0,30,2,4,224742.0,1,2,5,34.087895,-118.219671
5400,2004.0,15,837,0,2,129700.0,0,1,0,34.186604,-118.482657
2950,1997.0,7,280,1,2,203000.0,0,0,0,34.13977,-117.856178
4900,2000.0,2,179,0,4,142013.0,0,2,4,34.0585,-118.3012
5900,2007.0,15,193,0,2,127044.0,0,1,5,34.0622,-118.2763
2650,2005.0,15,187,2,2,160000.0,0,1,5,34.437976,-118.535872
4999,2003.0,0,1122,0,5,129000.0,0,0,0,34.2209,-118.3699
5900,2012.0,8,943,0,2,111481.0,0,1,5,34.047083,-118.296512
517,2014.0,15,998,0,4,62271.0,0,0,6,34.193448,-118.514363
4000,1990.0,6,990,1,5,213000.0,0,0,0,39.835915,-123.251471
5200,2001.0,14,766,2,2,215000.0,1,0,8,39.3932,-123.0647
2850,1999.0,5,429,2,4,165790.0,0,2,0,37.6409,-120.9749
5400,2005.0,2,1002,0,5,177120.0,0,2,0,37.617036,-120.994341
4895,2009.0,2,604,0,4,112537.0,0,1,5,37.617053,-120.994084
2550,2003.0,16,781,2,2,124934.0,0,1,8,37.6409,-120.9749
5988,2010.0,12,899,0,2,96196.0,0,1,5,38.611335,-121.430953
5900,2007.0,7,280,3,2,202564.0,0,0,0,37.5239,-120.8517
5499,2007.0,12,821,0,4,124615.0,0,1,7,37.615718,-120.983779
2999,2000.0,15,273,0,2,178414.0,0,1,5,37.615718,-120.983779
2900,2002.0,7,753,0,4,245590.0,0,1,3,37.617134,-120.994336
3995,2010.0,15,1140,0,2,134360.0,0,1,5,37.617406,-120.99455
5999,2010.0,8,882,0,2,143000.0,0,0,0,37.640019,-120.990298
3750,1999.0,15,192,0,2,106452.0,0,1,5,37.615718,-120.983779
4990,2006.0,0,1112,0,4,142532.0,0,0,0,37.615718,-120.983779
3990,2004.0,2,1051,0,4,157420.0,0,0,0,37.615718,-120.983779
3499,2003.0,4,206,2,4,74996.0,0,1,3,37.615718,-120.983779
5500,2008.0,15,187,0,2,180550.0,0,1,5,37.7005,-121.0252
5999,2012.0,8,364,0,2,156680.0,0,1,5,37.640019,-120.990298
5895,2007.0,7,102,0,2,152480.0,0,1,5,36.678966,-121.647459
5995,2013.0,4,330,2,2,139032.0,0,1,5,36.678966,-121.647459
4995,2005.0,10,959,0,4,133765.0,0,0,0,36.678966,-121.647459
5395,2008.0,7,102,2,2,226684.0,0,1,5,36.678966,-121.647459
5995,2013.0,10,962,0,2,120543.0,1,1,5,36.678966,-121.647459
5595,2014.0,12,1089,0,2,175901.0,0,1,5,36.678966,-121.647459
4395,2005.0,7,753,0,4,168718.0,0,1,3,36.678966,-121.647459
5999,2008.0,7,102,0,2,180968.0,0,1,5,36.678966,-121.647459
